# xp yp zp Bx By Bz
# 10251 6
# 201 1 51 6
 7.80000000e-02  0.00000000e+00 -9.90000000e-02  1.85015700e-05  0.00000000e+00 -5.40205200e-06
 8.00000000e-02  0.00000000e+00 -9.90000000e-02  1.79949400e-05  0.00000000e+00 -5.36674700e-06
 8.20000000e-02  0.00000000e+00 -9.90000000e-02  1.77594600e-05  0.00000000e+00 -5.85426500e-06
 8.40000000e-02  0.00000000e+00 -9.90000000e-02  1.80171700e-05  0.00000000e+00 -4.36203600e-06
 8.60000000e-02  0.00000000e+00 -9.90000000e-02  1.75752200e-05  0.00000000e+00 -4.15205700e-06
 8.80000000e-02  0.00000000e+00 -9.90000000e-02  1.73129000e-05  0.00000000e+00 -4.36047300e-06
 9.00000000e-02  0.00000000e+00 -9.90000000e-02  1.72624300e-05  0.00000000e+00 -4.57479200e-06
 9.20000000e-02  0.00000000e+00 -9.90000000e-02  1.70558900e-05  0.00000000e+00 -3.00641500e-06
 9.40000000e-02  0.00000000e+00 -9.90000000e-02  1.67713800e-05  0.00000000e+00 -3.03421300e-06
 9.60000000e-02  0.00000000e+00 -9.90000000e-02  1.66301100e-05  0.00000000e+00 -3.11557200e-06
 9.80000000e-02  0.00000000e+00 -9.90000000e-02  1.64415200e-05  0.00000000e+00 -1.92285800e-06
 1.00000000e-01  0.00000000e+00 -9.90000000e-02  1.61385600e-05  0.00000000e+00 -1.83837200e-06
 0.00000000e+00  0.00000000e+00 -9.80000000e-02  0.00000000e+00  0.00000000e+00 -1.33021600e-02
 2.00000000e-03  0.00000000e+00 -9.80000000e-02  3.35200300e-05  0.00000000e+00 -1.01229200e-02
 4.00000000e-03  0.00000000e+00 -9.80000000e-02  6.19886600e-05  0.00000000e+00 -9.40100000e-03
 6.00000000e-03  0.00000000e+00 -9.80000000e-02  1.24734700e-04  0.00000000e+00 -8.61557000e-03
 8.00000000e-03  0.00000000e+00 -9.80000000e-02  1.86446000e-03  0.00000000e+00 -7.49570700e-03
 1.00000000e-02  0.00000000e+00 -9.80000000e-02  1.78923700e-03  0.00000000e+00 -5.58890900e-03
 1.20000000e-02  0.00000000e+00 -9.80000000e-02  1.48522000e-03  0.00000000e+00 -3.89360800e-03
 1.40000000e-02  0.00000000e+00 -9.80000000e-02 -1.68052200e-03  0.00000000e+00 -2.68592000e-03
 1.60000000e-02  0.00000000e+00 -9.80000000e-02  8.94837300e-04  0.00000000e+00 -2.02288900e-03
 1.80000000e-02  0.00000000e+00 -9.80000000e-02  6.54717800e-04  0.00000000e+00 -1.27029900e-03
 2.00000000e-02  0.00000000e+00 -9.80000000e-02 -6.58714400e-04  0.00000000e+00 -8.57725300e-04
 2.20000000e-02  0.00000000e+00 -9.80000000e-02  3.86244100e-04  0.00000000e+00 -7.09304500e-04
 2.40000000e-02  0.00000000e+00 -9.80000000e-02  2.52739600e-04  0.00000000e+00 -4.26373600e-04
 2.60000000e-02  0.00000000e+00 -9.80000000e-02 -2.17727900e-04  0.00000000e+00 -2.68269600e-04
 2.80000000e-02  0.00000000e+00 -9.80000000e-02  1.64451100e-04  0.00000000e+00 -2.45878000e-04
 3.00000000e-02  0.00000000e+00 -9.80000000e-02  9.52260200e-05  0.00000000e+00 -1.50525700e-04
 3.20000000e-02  0.00000000e+00 -9.80000000e-02 -5.40438100e-05  0.00000000e+00 -8.12897200e-05
 3.40000000e-02  0.00000000e+00 -9.80000000e-02  7.75594100e-05  0.00000000e+00 -8.74910900e-05
 3.60000000e-02  0.00000000e+00 -9.80000000e-02  4.20148800e-05  0.00000000e+00 -5.73872800e-05
 3.80000000e-02  0.00000000e+00 -9.80000000e-02  2.13110900e-05  0.00000000e+00 -5.81795900e-05
 4.00000000e-02  0.00000000e+00 -9.80000000e-02  4.49327700e-05  0.00000000e+00 -3.52276000e-05
 4.20000000e-02  0.00000000e+00 -9.80000000e-02  2.60545300e-05  0.00000000e+00 -2.55173200e-05
 4.40000000e-02  0.00000000e+00 -9.80000000e-02  1.58201800e-05  0.00000000e+00 -3.17025500e-05
 4.60000000e-02  0.00000000e+00 -9.80000000e-02  3.09093400e-05  0.00000000e+00 -1.47938100e-05
 4.80000000e-02  0.00000000e+00 -9.80000000e-02  2.14967600e-05  0.00000000e+00 -1.43019300e-05
 5.00000000e-02  0.00000000e+00 -9.80000000e-02  1.58376000e-05  0.00000000e+00 -1.94723700e-05
 5.20000000e-02  0.00000000e+00 -9.80000000e-02  2.76030800e-05  0.00000000e+00 -9.86759800e-06
 5.40000000e-02  0.00000000e+00 -9.80000000e-02  2.01483900e-05  0.00000000e+00 -1.00693800e-05
 5.60000000e-02  0.00000000e+00 -9.80000000e-02  1.67014200e-05  0.00000000e+00 -1.34798100e-05
 5.80000000e-02  0.00000000e+00 -9.80000000e-02  2.46039500e-05  0.00000000e+00 -7.77058800e-06
 6.00000000e-02  0.00000000e+00 -9.80000000e-02  1.96556800e-05  0.00000000e+00 -8.19068300e-06
 6.20000000e-02  0.00000000e+00 -9.80000000e-02  1.73894200e-05  0.00000000e+00 -1.02276000e-05
 6.40000000e-02  0.00000000e+00 -9.80000000e-02  2.24317500e-05  0.00000000e+00 -6.64126500e-06
 6.60000000e-02  0.00000000e+00 -9.80000000e-02  1.93576700e-05  0.00000000e+00 -7.06388200e-06
 6.80000000e-02  0.00000000e+00 -9.80000000e-02  1.77719300e-05  0.00000000e+00 -8.17557700e-06
 7.00000000e-02  0.00000000e+00 -9.80000000e-02  1.75217400e-05  0.00000000e+00 -1.02574300e-05
 7.20000000e-02  0.00000000e+00 -9.80000000e-02  1.90622100e-05  0.00000000e+00 -6.12762300e-06
 7.40000000e-02  0.00000000e+00 -9.80000000e-02  1.78894400e-05  0.00000000e+00 -6.64320700e-06
 7.60000000e-02  0.00000000e+00 -9.80000000e-02  1.75633400e-05  0.00000000e+00 -7.88889700e-06
 7.80000000e-02  0.00000000e+00 -9.80000000e-02  2.06001600e-05  0.00000000e+00 -6.13411500e-06
 8.00000000e-02  0.00000000e+00 -9.80000000e-02  1.77920600e-05  0.00000000e+00 -5.33322700e-06
 8.20000000e-02  0.00000000e+00 -9.80000000e-02  1.74306800e-05  0.00000000e+00 -6.03568100e-06
 8.40000000e-02  0.00000000e+00 -9.80000000e-02  1.94624900e-05  0.00000000e+00 -4.70534300e-06
